DistrictNbr|SYear|All_Subjects_All_Grades_Appr_18|All_Grades_ELA_Appr_18|All_Grades_Math_Appr_18
091906|17-18|72|71|75
091907|17-18|85|84|89
091908|17-18|87|85|90
091909|17-18|81|80|85
091910|17-18|84|81|87
091913|17-18|82|82|83
091914|17-18|75|71|80
091917|17-18|87|86|91
091918|17-18|77|72|82
092801|17-18|73|-1|-1
092901|17-18|70|68|74
092902|17-18|71|70|74
092903|17-18|78|75|85
092904|17-18|70|66|76
092906|17-18|83|81|86
092907|17-18|84|84|91
092908|17-18|80|84|84
093901|17-18|82|82|89
093903|17-18|80|82|82
093904|17-18|61|58|66
093905|17-18|68|72|65
094901|17-18|67|63|72
094902|17-18|84|82|88
094903|17-18|86|85|92
094904|17-18|84|81|87
095901|17-18|77|78|79
095902|17-18|77|83|72
095903|17-18|70|73|67
095904|17-18|78|75|87
095905|17-18|71|66|80
096904|17-18|69|67|74
096905|17-18|84|83|95
097902|17-18|74|70|79
097903|17-18|82|80|88
098901|17-18|91|86|97
098903|17-18|82|90|86
098904|17-18|84|80|93
099902|17-18|73|73|76
099903|17-18|74|72|80
100903|17-18|71|70|78
100904|17-18|80|75|86
100905|17-18|85|82|89
100907|17-18|81|81|83
100908|17-18|69|67|69
101802|17-18|77|74|83
101803|17-18|81|85|83
101804|17-18|44|39|48
101806|17-18|75|74|80
101807|17-18|78|83|81
101810|17-18|70|66|74
101811|17-18|-1|-1|-1
101813|17-18|80|78|83
101814|17-18|66|62|73
101815|17-18|82|89|87
101819|17-18|85|81|92
101821|17-18|63|-1|-1
101828|17-18|95|94|97
101837|17-18|92|89|90
101838|17-18|60|58|69
101840|17-18|74|77|84
101842|17-18|48|-1|-1
101845|17-18|78|74|83
101846|17-18|80|77|86
101847|17-18|84|83|86
101849|17-18|84|85|89
101853|17-18|61|59|72
101855|17-18|70|69|72
101856|17-18|60|60|72
101858|17-18|81|81|86
101859|17-18|79|82|78
101861|17-18|73|79|76
101862|17-18|90|91|94
101864|17-18|61|64|62
101868|17-18|47|43|-1
101870|17-18|92|95|94
101871|17-18|44|52|45
101902|17-18|69|64|77
101903|17-18|68|65|74
101905|17-18|74|69|83
101906|17-18|77|73|85
101907|17-18|83|81|86
101908|17-18|84|80|89
101910|17-18|76|72|84
101911|17-18|73|69|78
101912|17-18|70|66|76
101913|17-18|80|78|83
101914|17-18|89|88|92
101915|17-18|80|78|84
101916|17-18|81|77|86
101917|17-18|74|69|80
101919|17-18|65|62|70
101920|17-18|74|71|78
101921|17-18|91|90|94
101924|17-18|65|62|71
101925|17-18|76|74|78
102901|17-18|64|65|69
102902|17-18|62|60|65
102903|17-18|70|67|70
102904|17-18|85|84|89
102905|17-18|87|85|89
102906|17-18|84|85|86
103901|17-18|77|70|83
103902|17-18|87|83|91
104901|17-18|77|75|80
104903|17-18|66|74|-1
104907|17-18|83|82|91
105801|17-18|75|69|-1
105802|17-18|79|82|79
105803|17-18|-1|-1|-1
105902|17-18|70|68|72
105904|17-18|91|90|91
105905|17-18|85|85|88
105906|17-18|74|72|77
106901|17-18|88|89|91
107901|17-18|71|68|78
107902|17-18|78|76|83
107904|17-18|83|84|85
107905|17-18|82|83|83
107906|17-18|87|83|91
107907|17-18|70|71|74
107908|17-18|73|75|77
107910|17-18|76|79|73
108802|17-18|74|73|83
108804|17-18|59|-1|-1
108807|17-18|84|82|86
108808|17-18|84|84|89
108809|17-18|57|61|60
108902|17-18|70|60|80
108903|17-18|67|63|73
108904|17-18|78|73|84
108905|17-18|74|66|83
108906|17-18|79|75|84
108907|17-18|69|64|76
108908|17-18|75|70|82
108909|17-18|73|67|80
108910|17-18|68|60|79
108911|17-18|88|86|93
108912|17-18|72|65|80
108913|17-18|75|69|82
108914|17-18|65|63|69
108915|17-18|69|62|78
108916|17-18|85|80|92
109901|17-18|81|81|86
109902|17-18|73|74|81
109903|17-18|71|74|77
109904|17-18|67|67|66
109905|17-18|74|75|77
109907|17-18|72|74|75
109908|17-18|67|69|69
109910|17-18|67|62|78
109911|17-18|75|70|78
109912|17-18|84|84|92
109913|17-18|84|79|93
109914|17-18|75|70|80
110901|17-18|52|54|58
110902|17-18|73|71|77
110905|17-18|75|81|77
110906|17-18|69|66|72
110907|17-18|92|92|98
110908|17-18|86|86|88
111901|17-18|78|74|80
111902|17-18|79|80|83
111903|17-18|86|84|91
112901|17-18|74|70|80
112905|17-18|74|75|73
112906|17-18|73|68|76
112907|17-18|79|77|82
112908|17-18|77|74|78
112909|17-18|85|87|90
112910|17-18|79|75|79
113901|17-18|60|58|66
113902|17-18|68|66|74
113903|17-18|86|85|90
113905|17-18|75|79|73
113906|17-18|61|61|62
114901|17-18|59|56|63
114902|17-18|68|69|70
114904|17-18|84|84|83
115901|17-18|78|74|79
115902|17-18|70|-1|84
115903|17-18|55|-1|-1
116901|17-18|89|87|93
116902|17-18|73|75|76
116903|17-18|68|66|72
116905|17-18|68|62|76
116906|17-18|81|81|83
116908|17-18|66|61|71
116909|17-18|83|84|89
116910|17-18|65|61|69
116915|17-18|88|87|91
116916|17-18|76|79|83
117901|17-18|74|70|81
117903|17-18|69|69|68
117904|17-18|81|79|86
117907|17-18|90|89|91
118902|17-18|83|82|87
119901|17-18|77|71|84
119902|17-18|76|74|84
119903|17-18|78|78|80
120901|17-18|72|68|77
120902|17-18|73|72|73
120905|17-18|86|87|89
121902|17-18|84|82|85
121903|17-18|75|72|83
121904|17-18|63|63|69
121905|17-18|77|74|82
121906|17-18|82|83|80
122901|17-18|72|69|73
122902|17-18|88|89|-1
123803|17-18|81|81|85
123805|17-18|78|83|78
123807|17-18|84|84|88
123905|17-18|81|79|82
123907|17-18|65|61|70
123908|17-18|82|81|87
123910|17-18|61|60|60
123913|17-18|90|91|90
123914|17-18|81|82|85
124901|17-18|66|61|74
125901|17-18|61|61|67
125902|17-18|63|62|73
125903|17-18|77|75|84
125905|17-18|58|56|63
125906|17-18|85|90|93
126801|17-18|-1|-1|-1
126901|17-18|69|67|72
126902|17-18|81|78|83
126903|17-18|68|66|72
126904|17-18|89|88|93
126905|17-18|83|79|88
126906|17-18|77|74|78
126907|17-18|72|70|71
126908|17-18|72|68|79
126911|17-18|73|71|79
127901|17-18|74|77|75
127903|17-18|74|69|81
127904|17-18|75|77|74
127905|17-18|71|60|-1
127906|17-18|80|82|82
128901|17-18|73|70|79
128902|17-18|73|67|84
128903|17-18|60|58|64
128904|17-18|93|92|95
129901|17-18|76|75|78
129902|17-18|85|84|88
129903|17-18|74|69|80
129904|17-18|72|68|77
129905|17-18|85|81|93
129906|17-18|66|61|73
129910|17-18|81|80|85
130801|17-18|69|-1|-1
130901|17-18|90|90|93
130902|17-18|77|75|83
131001|17-18|78|72|88
132902|17-18|91|93|94
133901|17-18|74|70|84
133902|17-18|83|87|84
133903|17-18|83|79|87
133904|17-18|74|70|81
133905|17-18|100|-1|-1
134901|17-18|75|76|80
135001|17-18|96|97|98
136901|17-18|83|83|82
137901|17-18|57|53|65
137902|17-18|89|90|92
137903|17-18|81|75|86
137904|17-18|93|92|93
138902|17-18|76|73|84
138903|17-18|77|76|88
138904|17-18|80|81|89
139905|17-18|82|84|83
139908|17-18|78|79|76
139909|17-18|71|68|80
139911|17-18|81|77|87
139912|17-18|78|76|82
140901|17-18|66|71|-1
140904|17-18|74|69|79
140905|17-18|78|72|85
140907|17-18|65|68|60
140908|17-18|81|80|85
141901|17-18|77|77|79
141902|17-18|68|58|82
142901|17-18|67|62|75
143901|17-18|82|78|87
143902|17-18|85|84|89
143903|17-18|90|88|94
143904|17-18|87|87|90
143905|17-18|90|90|93
143906|17-18|91|89|96
144901|17-18|74|71|76
144902|17-18|80|80|81
144903|17-18|69|60|76
145901|17-18|84|78|93
145902|17-18|80|79|84
145906|17-18|80|78|87
145907|17-18|80|78|95
145911|17-18|78|76|80
146901|17-18|69|63|78
146902|17-18|68|63|75
146903|17-18|95|95|97
146904|17-18|70|68|74
146905|17-18|68|63|71
146906|17-18|74|70|81
146907|17-18|79|75|86
147901|17-18|82|75|94
147902|17-18|65|66|70
147903|17-18|65|68|69
148901|17-18|80|76|94
148902|17-18|88|85|89
148903|17-18|70|77|75
148905|17-18|60|-1|71
149901|17-18|86|83|91
149902|17-18|71|71|75
150901|17-18|76|75|77
152802|17-18|95|95|98
152803|17-18|43|-1|-1
152901|17-18|71|69|77
152902|17-18|78|75|79
152903|17-18|71|68|77
152906|17-18|86|84|88
152907|17-18|84|82|85
152908|17-18|70|68|77
152909|17-18|88|87|93
152910|17-18|90|86|95
153903|17-18|62|64|69
153904|17-18|75|71|81
153905|17-18|94|94|96
153907|17-18|59|65|-1
154901|17-18|77|71|84
154903|17-18|79|79|82
155901|17-18|66|69|66
156902|17-18|70|71|78
156905|17-18|91|90|92
157901|17-18|90|91|92
158901|17-18|68|63|73
158902|17-18|77|75|77
158904|17-18|70|67|76
158905|17-18|73|72|79
158906|17-18|78|75|86
159901|17-18|81|76|86
160901|17-18|79|77|85
160904|17-18|69|63|81
160905|17-18|52|47|64
161801|17-18|68|75|74
161802|17-18|75|78|82
161807|17-18|78|78|82
161901|17-18|93|95|95
161903|17-18|88|87|91
161906|17-18|66|65|75
161907|17-18|89|87|91
161908|17-18|72|67|74
161909|17-18|78|73|82
161910|17-18|66|67|70
161912|17-18|78|79|79
161914|17-18|64|60|69
161916|17-18|79|79|79
161918|17-18|81|80|83
161919|17-18|75|74|77
161920|17-18|88|86|93
161921|17-18|64|62|69
161922|17-18|81|81|85
161923|17-18|83|85|88
161924|17-18|83|81|90
161925|17-18|70|69|72
162904|17-18|91|93|95
163901|17-18|75|71|80
163902|17-18|83|82|89
163903|17-18|61|59|63
163904|17-18|72|68|76
163908|17-18|83|82|87
164901|17-18|73|73|75
165802|17-18|82|82|87
165901|17-18|67|64|75
165902|17-18|75|74|77
166901|17-18|70|70|76
166902|17-18|85|84|90
166903|17-18|75|69|76
166904|17-18|73|73|78
166905|17-18|78|75|84
166907|17-18|65|69|71
167901|17-18|88|87|92
167902|17-18|68|59|80
167904|17-18|75|72|86
168901|17-18|73|71|81
168902|17-18|74|71|76
168903|17-18|79|80|84
169901|17-18|75|74|78
169902|17-18|79|77|83
169906|17-18|70|70|69
169908|17-18|76|81|80
169909|17-18|83|81|87
169910|17-18|60|69|-1
169911|17-18|89|89|92
170801|17-18|78|77|85
170902|17-18|85|83|89
170903|17-18|87|85|91
170904|17-18|75|72|81
170906|17-18|80|77|83
170907|17-18|70|66|72
170908|17-18|71|68|76
171901|17-18|77|72|86
171902|17-18|81|75|88
172902|17-18|69|69|73
172905|17-18|69|74|67
173901|17-18|75|78|85
174801|17-18|98|99|99
174901|17-18|73|76|75
174902|17-18|76|77|80
174903|17-18|83|80|86
174904|17-18|65|63|69
174906|17-18|89|85|95
174908|17-18|87|85|89
174909|17-18|79|77|82
174910|17-18|40|-1|-1
174911|17-18|81|79|80
175902|17-18|69|71|75
175903|17-18|72|69|80
175904|17-18|73|74|83
175905|17-18|72|70|77
175907|17-18|73|71|81
175910|17-18|80|81|80
175911|17-18|69|71|74
176901|17-18|61|58|71
176902|17-18|72|68|70
176903|17-18|71|66|76
177901|17-18|80|77|81
177902|17-18|71|67|80
177903|17-18|86|89|86
177905|17-18|93|93|97
178801|17-18|61|58|65
178807|17-18|70|78|68
178808|17-18|91|96|93
178901|17-18|71|70|78
178902|17-18|79|75|85
178903|17-18|84|82|87
178904|17-18|73|70|80
178905|17-18|93|90|97
178906|17-18|90|88|91
178908|17-18|87|87|88
178909|17-18|63|60|71
178912|17-18|77|76|80
178913|17-18|82|79|90
178914|17-18|83|82|87
178915|17-18|68|62|77
179901|17-18|75|73|78
180901|17-18|79|68|83
180902|17-18|91|91|94
180903|17-18|70|67|-1
180904|17-18|89|93|97
181901|17-18|84|82|84
181905|17-18|75|75|80
181906|17-18|50|51|52
181907|17-18|73|69|81
181908|17-18|71|71|72
182901|17-18|75|76|77
182902|17-18|72|68|78
182903|17-18|65|60|71
182904|17-18|81|79|79
182905|17-18|72|70|79
182906|17-18|88|88|85
183801|17-18|77|74|74
183901|17-18|88|88|92
183902|17-18|74|73|79
183904|17-18|81|80|89
184801|17-18|53|-1|-1
184901|17-18|76|71|87
184902|17-18|78|74|82
184903|17-18|75|74|78
184904|17-18|75|72|83
184907|17-18|91|91|93
184908|17-18|81|82|83
184909|17-18|90|88|94
184911|17-18|81|85|81
185901|17-18|65|66|73
185902|17-18|82|80|86
185903|17-18|76|73|87
185904|17-18|60|68|62
186901|17-18|77|75|89
186902|17-18|66|65|70
186903|17-18|81|80|87
187901|17-18|74|72|80
187903|17-18|66|57|74
187904|17-18|67|63|72
187906|17-18|69|71|71
187907|17-18|68|65|71
187910|17-18|81|76|89
188901|17-18|78|74|85
188902|17-18|76|71|79
188903|17-18|77|78|82
188904|17-18|88|88|90
189901|17-18|73|73|74
189902|17-18|66|56|75
190903|17-18|75|74|79
191901|17-18|84|81|90
192901|17-18|67|61|76
193801|17-18|41|-1|-1
193902|17-18|69|68|73
194902|17-18|79|77|81
194903|17-18|85|83|90
194904|17-18|66|63|73
194905|17-18|78|73|90
195901|17-18|64|63|71
195902|17-18|66|63|66
196901|17-18|80|87|77
196902|17-18|74|70|76
196903|17-18|69|66|76
197902|17-18|77|80|85
198901|17-18|79|77|84
198902|17-18|65|-1|-1
198903|17-18|90|88|96
198905|17-18|48|48|51
198906|17-18|94|93|97
199901|17-18|88|87|90
199902|17-18|82|79|88
200901|17-18|72|72|72
200902|17-18|88|88|93
200904|17-18|65|63|66
200906|17-18|83|77|91
201902|17-18|80|78|86
201903|17-18|79|70|90
201904|17-18|73|68|79
201907|17-18|70|72|69
201908|17-18|73|72|74
201910|17-18|86|85|89
201913|17-18|70|67|76
201914|17-18|76|74|80
202903|17-18|72|72|74
202905|17-18|76|73|80
203901|17-18|60|54|61
203902|17-18|74|71|79
204901|17-18|60|56|63
204904|17-18|59|56|63
205901|17-18|70|67|77
205902|17-18|82|80|87
205903|17-18|78|74|83
205904|17-18|74|71|81
205905|17-18|73|74|74
205906|17-18|73|66|80
205907|17-18|55|51|63
206901|17-18|81|76|88
206902|17-18|71|62|-1
206903|17-18|84|79|91
207901|17-18|78|75|88
208901|17-18|64|65|67
208902|17-18|62|57|68
208903|17-18|90|91|93
209901|17-18|82|85|90
209902|17-18|57|-1|-1
